Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nationality,Mother's qualification,Father's qualification,Mother's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,8,2,12,1,1,1,13,1,6,1,0,0,1,0,0,18,0,8,7,13.30625,0,0,15.5,2.8,-4.06,Graduate
1,1,1,8,1,1,1,3,14,4,1,0,0,1,0,0,20,0,8,4,12.5,1,2,10.8,1.4,1.74,Graduate
1,1,1,16,1,1,1,13,14,8,1,0,0,1,0,0,18,0,7,6,11.666666666666666,0,0,16.2,0.3,-0.92,Enrolled
1,1,3,2,1,1,1,1,1,10,0,0,0,1,0,1,21,0,0,0,0.0,0,0,11.1,0.6,2.02,Graduate
1,9,4,13,1,1,1,1,28,5,1,0,0,1,0,0,20,0,14,7,11.4375,0,0,12.7,3.7,-1.7,Enrolled
1,1,4,12,1,1,1,13,14,2,1,0,0,1,0,0,18,0,12,7,12.857142857142858,0,0,12.7,3.7,-1.7,Graduate
1,1,4,14,1,1,1,1,28,5,1,0,0,1,0,1,19,0,8,6,13.375,0,0,11.1,0.6,2.02,Graduate
1,1,1,12,1,1,1,13,14,4,0,0,0,1,0,0,19,0,8,6,13.296666666666669,0,0,11.1,0.6,2.02,Graduate
1,1,1,10,1,1,1,13,28,10,1,0,1,1,0,1,18,0,8,5,11.6,0,0,7.6,2.6,0.32,Enrolled
1,8,2,10,1,1,1,13,28,8,1,0,0,1,0,0,21,0,9,6,11.375,0,0,16.2,0.3,-0.92,Graduate
1,1,1,6,1,1,1,13,14,4,1,0,0,1,0,0,18,0,9,5,12.666666666666666,2,0,9.4,-0.8,-3.12,Enrolled
1,1,1,9,1,1,1,13,1,10,1,0,0,1,0,0,20,0,6,5,12.0,0,0,16.2,0.3,-0.92,Graduate
1,8,2,12,1,1,1,3,3,2,1,0,0,1,1,0,19,0,9,6,12.933333333333332,0,0,16.2,0.3,-0.92,Enrolled
1,15,1,4,1,14,1,4,5,5,0,0,0,1,1,0,21,0,15,5,11.857142857142858,0,0,16.2,0.3,-0.92,Enrolled
1,16,1,5,1,1,1,27,3,16,1,0,0,1,1,0,20,2,7,6,12.833333333333334,0,0,8.9,1.4,3.51,Graduate
1,1,1,9,1,1,1,1,1,5,0,0,0,0,1,0,18,0,9,3,11.333333333333334,0,0,8.9,1.4,3.51,Enrolled
1,9,1,3,0,1,1,13,1,10,1,0,0,1,0,0,19,0,6,6,12.666666666666666,0,0,12.4,0.5,1.79,Graduate
1,1,1,17,0,1,1,2,27,4,0,0,0,1,1,0,34,0,6,5,12.4,0,0,13.9,-0.3,0.79,Graduate
1,12,1,1,1,1,1,23,27,10,0,0,1,0,1,0,37,0,7,0,0.0,0,0,8.9,1.4,3.51,Dropout
1,12,1,7,1,8,1,19,27,1,1,0,0,1,1,0,43,0,0,0,0.0,0,0,7.6,2.6,0.32,Dropout
1,14,1,9,1,1,1,22,27,7,0,0,0,1,0,0,55,0,10,1,10.0,0,2,16.2,0.3,-0.92,Dropout
4,12,1,17,0,1,1,13,14,10,1,0,0,1,0,0,39,0,8,5,11.0,0,0,7.6,2.6,0.32,Graduate
1,15,1,8,1,14,3,4,4,4,0,0,1,0,0,0,20,2,13,3,11.666666666666666,0,0,12.4,0.5,1.79,Dropout
1,1,5,15,1,1,1,3,3,3,0,0,1,1,0,0,18,0,6,4,12.75,0,0,12.7,3.7,-1.7,Dropout
1,1,2,9,1,1,1,3,14,3,1,0,0,1,0,0,22,0,5,5,14.8,0,0,8.9,1.4,3.51,Graduate
1,1,6,12,1,1,1,1,3,3,1,1,0,1,0,0,22,0,9,5,13.928,0,0,11.1,0.6,2.02,Graduate
1,8,1,15,1,1,1,1,28,6,0,0,0,0,0,0,20,0,7,4,13.0,0,0,12.4,0.5,1.79,Dropout
1,12,1,17,0,1,1,22,27,10,0,0,0,1,0,0,29,0,0,0,0.0,0,0,16.2,0.3,-0.92,Dropout
1,8,1,17,0,1,1,23,28,5,0,0,0,1,0,0,24,0,9,2,11.5,0,1,7.6,2.6,0.32,Enrolled
1,8,2,10,1,1,1,13,14,10,1,0,0,1,0,0,18,0,6,6,11.666666666666666,0,0,11.1,0.6,2.02,Graduate
1,8,6,12,1,1,1,22,14,8,1,0,0,1,0,1,22,0,8,6,13.516666666666666,0,0,11.1,0.6,2.02,Graduate
1,15,1,3,0,14,1,1,14,10,0,0,0,1,0,1,21,3,6,6,11.5,0,0,12.4,0.5,1.79,Graduate
1,1,1,10,1,1,1,22,28,10,0,0,0,1,0,1,19,0,7,5,12.333333333333334,0,0,12.7,3.7,-1.7,Graduate
1,12,1,11,1,1,1,13,28,10,0,0,0,1,0,1,24,0,6,6,13.666666666666666,0,0,12.4,0.5,1.79,Graduate
1,1,1,12,1,1,1,22,28,7,1,0,0,1,0,1,19,0,10,6,11.833333333333334,0,0,9.4,-0.8,-3.12,Enrolled
1,1,1,15,1,1,1,1,14,8,1,0,0,1,0,1,20,0,11,4,14.0,0,0,9.4,-0.8,-3.12,Enrolled
1,1,3,8,1,1,1,22,27,12,0,0,0,1,0,0,19,0,7,5,14.714285714285714,0,0,7.6,2.6,0.32,Graduate
1,12,1,17,0,1,1,23,28,10,0,0,0,1,0,0,27,0,12,5,10.6,0,0,9.4,-0.8,-3.12,Dropout
1,1,1,12,1,1,1,1,14,6,1,0,0,1,0,0,18,0,9,7,13.044444444444444,0,0,15.5,2.8,-4.06,Graduate
2,4,1,11,1,3,1,1,3,5,0,0,0,1,0,0,39,0,10,0,0.0,0,0,12.4,0.5,1.79,Dropout
1,12,1,8,1,15,1,3,3,3,1,0,0,1,0,0,27,0,9,5,13.0,0,0,12.4,0.5,1.79,Dropout
1,8,1,12,1,1,1,23,28,8,1,0,0,1,0,0,18,0,8,8,14.935,0,0,9.4,-0.8,-3.12,Graduate
1,1,3,2,1,1,1,23,27,5,1,0,0,1,0,0,18,0,0,0,0.0,0,0,7.6,2.6,0.32,Enrolled
1,1,2,12,1,1,1,13,14,10,0,0,0,1,0,0,18,0,8,6,13.133333333333333,0,0,16.2,0.3,-0.92,Graduate
1,15,1,10,1,14,1,13,1,10,0,0,0,1,0,1,21,3,7,6,12.0,0,0,13.9,-0.3,0.79,Graduate
1,8,3,2,1,1,1,1,27,5,1,0,0,1,1,1,19,0,0,0,0.0,0,0,10.8,1.4,1.74,Enrolled
1,8,1,5,1,1,1,1,1,4,1,0,0,1,1,0,19,0,6,5,11.4,0,0,10.8,1.4,1.74,Enrolled
1,14,1,5,1,1,1,1,1,4,0,0,0,1,1,0,24,0,6,0,0.0,0,0,12.7,3.7,-1.7,Enrolled
4,13,1,12,1,12,1,1,1,6,1,0,0,1,1,0,29,2,10,5,11.9,0,0,13.9,-0.3,0.79,Dropout
1,1,3,2,1,1,1,13,14,6,1,0,0,1,1,1,19,0,0,0,0.0,0,0,10.8,1.4,1.74,Graduate
1,15,1,4,1,14,1,13,27,10,1,0,0,1,1,0,23,0,8,6,12.571428571428571,0,0,8.9,1.4,3.51,Graduate
1,1,3,9,1,1,1,1,28,8,0,0,1,1,1,0,19,0,8,5,11.2,0,3,16.2,0.3,-0.92,Dropout
1,12,1,11,1,1,1,13,27,8,0,0,0,1,1,0,26,0,7,6,12.0,0,0,12.7,3.7,-1.7,Enrolled
1,8,1,9,1,1,1,23,27,6,0,0,0,1,1,0,18,0,9,0,0.0,0,0,7.6,2.6,0.32,Enrolled
1,8,1,12,1,1,1,22,14,9,0,0,0,1,1,0,24,0,8,7,11.975,0,0,13.9,-0.3,0.79,Graduate
1,1,1,2,1,1,1,13,14,6,1,0,0,1,1,0,19,0,0,0,0.0,0,0,15.5,2.8,-4.06,Dropout
1,8,4,11,1,1,1,23,27,6,1,0,0,1,1,0,18,0,12,3,11.666666666666666,0,0,12.4,0.5,1.79,Dropout
1,1,2,15,1,1,1,23,28,10,1,0,0,1,1,0,18,0,8,6,12.333333333333334,0,0,10.8,1.4,1.74,Graduate
1,8,3,9,1,1,1,13,14,5,1,0,1,1,1,0,18,0,8,3,10.333333333333334,0,0,10.8,1.4,1.74,Dropout
1,9,4,11,1,1,1,13,27,8,1,0,0,1,1,1,21,0,8,4,10.5,0,0,9.4,-0.8,-3.12,Dropout
1,8,4,15,1,1,1,1,14,10,1,0,1,1,1,1,19,0,6,6,13.666666666666666,0,0,8.9,1.4,3.51,Graduate
1,8,4,12,1,1,1,23,27,10,0,0,0,1,1,1,22,0,7,7,14.842857142857142,0,0,16.2,0.3,-0.92,Graduate
2,12,1,3,0,1,1,22,27,10,0,0,0,1,1,0,33,0,8,6,12.0,0,0,10.8,1.4,1.74,Graduate
1,1,6,16,1,1,1,13,14,10,1,0,0,1,1,0,20,0,8,5,12.2,0,0,10.8,1.4,1.74,Dropout
1,12,1,17,0,2,1,3,3,3,1,0,0,1,1,0,35,0,1,0,0.0,1,0,10.8,1.4,1.74,Dropout
1,12,1,4,1,4,1,3,3,5,0,0,1,1,1,0,24,6,17,6,12.166666666666666,0,0,12.4,0.5,1.79,Dropout
1,8,1,11,1,1,1,13,14,5,0,0,0,1,1,0,18,0,6,5,12.0,0,0,12.7,3.7,-1.7,Enrolled
2,12,1,3,0,1,1,22,27,10,1,0,0,1,0,0,33,0,7,6,11.0,0,0,9.4,-0.8,-3.12,Graduate
1,13,1,12,1,1,1,22,28,10,1,0,0,1,0,1,22,0,8,7,13.08,0,0,10.8,1.4,1.74,Graduate
1,12,1,14,1,1,1,1,14,5,0,0,0,1,0,1,25,0,7,4,10.5,0,0,9.4,-0.8,-3.12,Graduate
1,8,1,5,1,1,1,13,28,5,1,0,0,1,1,0,20,0,9,6,10.666666666666666,1,0,7.6,2.6,0.32,Graduate
1,1,6,9,1,1,1,23,27,10,1,0,0,1,1,0,23,0,6,4,14.0,0,0,11.1,0.6,2.02,Enrolled
1,14,2,7,1,1,1,23,14,10,1,0,1,1,1,0,18,0,9,2,10.0,0,0,15.5,2.8,-4.06,Enrolled
1,12,1,12,1,1,1,1,1,5,0,0,0,1,1,0,24,0,18,0,0.0,0,0,13.9,-0.3,0.79,Dropout
1,8,2,15,1,1,14,13,1,10,1,0,0,0,0,0,21,0,6,6,14.0,0,0,8.9,1.4,3.51,Graduate
1,6,1,8,1,1,14,1,1,5,0,0,0,1,0,0,26,0,7,2,12.0,1,0,8.9,1.4,3.51,Dropout
2,12,1,16,1,8,1,22,24,1,0,0,0,1,0,0,39,0,12,3,12.666666666666666,0,1,7.6,2.6,0.32,Dropout
2,12,1,3,0,1,1,22,14,10,0,0,0,1,0,0,44,2,11,8,11.875,0,0,12.7,3.7,-1.7,Graduate
1,6,1,7,1,1,12,23,3,10,1,0,0,1,1,0,19,0,9,5,14.0,0,0,13.9,-0.3,0.79,Enrolled
1,1,5,15,1,1,1,22,1,6,1,0,0,1,0,0,18,0,6,6,13.666666666666666,0,0,8.9,1.4,3.51,Graduate
1,1,5,12,1,1,1,22,27,8,1,0,0,1,0,1,18,0,7,7,13.75,0,0,12.4,0.5,1.79,Graduate
1,1,1,6,1,1,1,1,2,10,1,0,0,1,0,0,19,0,7,5,14.2,2,0,12.7,3.7,-1.7,Enrolled
1,1,4,12,1,1,1,3,3,3,1,0,1,0,0,0,19,0,10,4,11.96,0,0,13.9,-0.3,0.79,Dropout
1,17,1,6,1,16,1,23,28,10,0,0,0,1,0,0,21,7,12,8,12.875,0,0,8.9,1.4,3.51,Dropout
1,1,4,2,1,1,1,1,1,10,1,0,0,1,0,0,20,0,0,0,0.0,0,0,16.2,0.3,-0.92,Graduate
2,12,1,3,0,1,1,22,27,7,1,0,0,1,0,0,36,0,0,0,0.0,0,0,9.4,-0.8,-3.12,Dropout
4,12,1,4,1,9,1,22,27,10,0,0,0,1,0,0,43,13,19,18,14.63157894736842,0,1,15.5,2.8,-4.06,Graduate
1,9,1,16,1,1,1,13,14,10,1,0,0,1,0,0,19,0,0,0,0.0,0,0,11.1,0.6,2.02,Dropout
1,16,1,5,1,1,1,3,1,3,0,0,1,1,0,0,20,4,12,10,13.0,0,0,11.1,0.6,2.02,Graduate
1,1,2,10,1,1,1,22,28,5,1,0,0,1,0,0,19,0,0,0,0.0,0,0,16.2,0.3,-0.92,Dropout
1,1,1,6,1,1,1,1,1,5,1,0,0,1,0,0,20,0,15,4,14.2,0,0,15.5,2.8,-4.06,Dropout
1,1,5,12,1,1,1,3,4,5,1,0,0,1,0,0,20,2,9,6,13.266666666666666,0,0,12.4,0.5,1.79,Dropout
1,8,2,16,1,1,1,13,1,10,1,0,0,1,0,0,20,0,12,6,11.666666666666666,0,0,16.2,0.3,-0.92,Enrolled
1,1,1,10,1,1,1,22,27,7,1,0,0,1,0,0,18,0,8,6,13.857142857142858,0,0,13.9,-0.3,0.79,Graduate
1,8,2,9,1,1,1,1,28,5,1,0,0,1,0,1,18,0,9,3,13.0,0,0,8.9,1.4,3.51,Enrolled
1,1,1,6,1,1,1,13,14,10,1,0,0,1,0,0,19,0,6,5,13.4,0,0,10.8,1.4,1.74,Graduate
1,1,3,15,1,1,1,1,28,5,1,0,0,1,0,0,18,0,6,6,12.666666666666666,0,0,10.8,1.4,1.74,Graduate
1,8,2,12,1,1,1,22,27,10,1,0,0,1,0,0,18,0,7,6,12.516666666666666,1,1,7.6,2.6,0.32,Dropout
1,14,1,12,1,1,1,23,28,10,0,0,0,1,0,0,20,0,11,6,11.616666666666667,0,0,13.9,-0.3,0.79,Enrolled
1,8,1,10,1,1,1,13,27,10,1,0,0,1,0,1,20,0,13,2,10.0,0,0,7.6,2.6,0.32,Enrolled
1,8,1,9,1,1,1,13,14,4,0,0,0,1,0,0,20,0,11,3,10.333333333333334,0,0,12.4,0.5,1.79,Enrolled
1,1,2,6,1,1,1,22,28,10,0,0,0,1,0,0,18,0,12,5,13.142857142857142,2,0,9.4,-0.8,-3.12,Graduate
1,1,1,9,1,1,1,2,14,5,0,0,0,1,0,0,18,0,5,5,12.6,0,0,11.1,0.6,2.02,Graduate
1,8,1,11,1,1,1,1,1,5,1,0,0,1,0,0,21,0,12,3,11.0,0,0,9.4,-0.8,-3.12,Dropout
1,1,2,9,1,1,1,13,14,10,1,0,0,1,0,0,19,0,8,5,10.8,0,2,16.2,0.3,-0.92,Graduate
1,1,1,2,1,1,1,3,14,3,0,0,0,1,0,0,19,0,0,0,0.0,0,0,10.8,1.4,1.74,Dropout
1,1,1,14,1,1,1,23,28,10,0,0,0,1,0,1,19,0,5,5,12.8,0,0,9.4,-0.8,-3.12,Graduate
1,1,1,6,1,1,1,13,28,5,1,0,0,1,0,0,19,0,15,6,14.166666666666666,0,0,15.5,2.8,-4.06,Graduate
1,8,6,13,1,1,1,1,1,5,1,0,0,1,0,0,19,0,12,5,12.1,0,0,13.9,-0.3,0.79,Dropout
1,15,1,6,1,14,1,22,27,10,1,0,0,1,0,0,20,1,7,6,14.166666666666666,0,0,12.4,0.5,1.79,Graduate
1,1,1,16,1,1,1,13,28,10,1,0,0,1,0,1,18,0,8,5,12.8,0,0,9.4,-0.8,-3.12,Enrolled
1,8,3,10,1,1,1,1,29,6,1,0,0,1,0,0,18,0,7,6,13.0,0,0,12.4,0.5,1.79,Graduate
1,8,6,12,1,1,1,1,27,9,1,0,0,1,0,0,19,0,7,7,13.467142857142855,0,0,12.4,0.5,1.79,Graduate
1,1,3,12,1,1,1,13,14,6,1,0,0,1,0,1,18,0,9,7,13.2375,0,0,13.9,-0.3,0.79,Dropout
1,8,2,5,1,1,1,22,27,10,1,0,0,1,0,0,18,0,6,6,12.333333333333334,0,0,7.6,2.6,0.32,Graduate
1,1,4,9,1,1,1,1,14,5,1,0,0,1,0,0,19,0,7,5,12.4,0,0,8.9,1.4,3.51,Graduate
1,8,6,12,1,1,1,1,14,4,1,0,0,1,0,0,19,0,8,5,14.0,0,0,13.9,-0.3,0.79,Dropout
1,14,1,10,1,1,1,23,27,10,0,0,0,1,0,0,20,5,15,9,11.666666666666666,0,0,7.6,2.6,0.32,Graduate
1,1,1,14,1,1,1,1,28,4,0,0,1,0,0,1,19,0,7,5,12.0,0,0,12.4,0.5,1.79,Dropout
1,8,1,14,1,1,1,13,14,6,1,0,0,1,0,0,20,0,7,4,12.2,0,0,7.6,2.6,0.32,Graduate
1,1,1,15,1,1,1,1,1,20,0,0,1,1,0,1,18,0,6,6,14.833333333333334,0,0,8.9,1.4,3.51,Graduate
1,1,2,12,1,1,1,13,1,5,0,0,0,1,0,1,20,0,9,5,13.188,0,0,11.1,0.6,2.02,Enrolled
1,9,1,12,1,1,1,13,1,5,0,0,0,1,0,0,18,0,8,7,17.125,0,0,13.9,-0.3,0.79,Graduate
1,1,5,12,1,1,1,22,27,10,1,0,0,1,0,0,19,0,7,6,12.666666666666666,0,0,7.6,2.6,0.32,Graduate
1,1,6,15,1,1,1,13,1,5,1,0,0,1,0,1,19,0,8,6,12.666666666666666,0,0,12.4,0.5,1.79,Graduate
1,16,1,9,1,1,1,3,1,4,1,0,1,0,0,0,22,0,8,0,0.0,0,0,8.9,1.4,3.51,Enrolled
1,1,3,10,1,1,1,1,10,10,1,0,0,1,0,1,19,0,7,6,11.333333333333334,0,0,12.4,0.5,1.79,Graduate
1,1,3,12,1,1,1,13,14,10,1,0,0,1,0,1,19,0,10,7,13.605,0,0,15.5,2.8,-4.06,Graduate
1,8,5,16,1,1,1,22,28,6,1,0,0,1,0,1,19,0,10,5,12.0,0,0,9.4,-0.8,-3.12,Graduate
1,1,4,11,1,1,1,10,14,10,1,0,0,1,0,0,19,0,10,0,0.0,0,0,7.6,2.6,0.32,Dropout
1,8,1,11,1,1,1,1,27,10,1,0,0,1,0,0,20,0,8,5,11.2,0,0,7.6,2.6,0.32,Dropout
1,1,1,9,1,1,1,3,14,3,0,0,0,1,0,0,18,0,10,5,13.375,0,0,13.9,-0.3,0.79,Graduate
1,1,1,12,1,1,1,1,14,10,0,0,0,1,0,1,20,0,8,6,13.863333333333337,0,0,11.1,0.6,2.02,Graduate
1,1,1,2,1,1,1,3,27,3,1,0,0,1,0,0,18,0,0,0,0.0,0,0,9.4,-0.8,-3.12,Enrolled
1,1,1,6,1,1,1,1,28,5,0,0,0,1,0,0,19,0,6,5,12.4,0,0,7.6,2.6,0.32,Graduate
1,8,1,16,1,1,1,23,28,8,1,0,0,1,0,0,18,0,11,3,12.333333333333334,0,0,9.4,-0.8,-3.12,Enrolled
1,1,1,16,1,1,1,22,27,10,1,0,0,1,0,0,18,0,7,6,13.333333333333334,0,0,7.6,2.6,0.32,Graduate
1,14,1,16,1,1,1,3,27,3,1,0,0,1,0,0,21,0,10,3,12.666666666666666,0,0,9.4,-0.8,-3.12,Dropout
1,1,1,16,1,1,1,23,27,7,0,0,0,1,0,0,19,0,8,6,12.0,0,0,7.6,2.6,0.32,Dropout
1,1,1,9,1,1,1,23,28,10,0,0,0,1,0,1,18,0,5,5,10.6,0,0,12.4,0.5,1.79,Graduate
1,8,2,10,1,1,1,1,27,8,1,0,0,1,0,1,18,0,8,6,12.25,0,0,12.7,3.7,-1.7,Graduate
1,1,3,10,1,1,1,13,1,10,1,0,0,1,0,0,20,0,10,4,11.0,0,0,9.4,-0.8,-3.12,Graduate
1,12,1,3,0,1,1,1,14,7,0,0,0,1,0,1,24,0,11,5,11.0,0,0,11.1,0.6,2.02,Graduate
1,1,1,14,1,1,1,13,1,5,0,0,0,1,0,0,19,0,6,6,13.166666666666666,0,0,10.8,1.4,1.74,Dropout
1,1,1,12,1,1,1,13,27,10,1,0,0,1,0,1,18,0,9,7,12.855555555555554,0,0,15.5,2.8,-4.06,Graduate
1,1,2,12,1,1,1,13,14,10,1,0,0,1,0,0,18,0,8,7,14.91875,0,0,15.5,2.8,-4.06,Graduate
1,8,5,16,1,1,1,10,10,5,1,0,0,1,0,0,21,0,13,4,11.5,0,0,10.8,1.4,1.74,Dropout
1,8,2,14,1,1,1,1,14,6,0,0,0,1,0,0,19,0,5,5,14.2,0,0,7.6,2.6,0.32,Graduate
1,8,1,15,1,1,1,13,27,8,0,0,0,1,0,1,19,0,6,6,12.5,0,0,15.5,2.8,-4.06,Graduate
3,12,1,4,1,1,1,1,27,7,0,0,1,1,0,0,47,0,1,0,0.0,0,0,8.9,1.4,3.51,Enrolled
1,8,3,10,1,1,1,13,14,8,0,0,0,1,0,0,19,0,10,5,11.666666666666666,0,0,13.9,-0.3,0.79,Graduate
1,12,1,12,1,3,1,2,2,2,0,0,0,1,0,0,29,1,8,7,14.257142857142856,0,0,12.7,3.7,-1.7,Graduate
1,14,1,10,1,1,1,13,14,5,1,0,0,1,0,0,21,0,13,3,12.0,0,0,16.2,0.3,-0.92,Dropout
1,12,1,6,1,1,1,22,14,10,1,0,0,1,0,0,28,0,13,4,11.25,1,0,12.7,3.7,-1.7,Enrolled
1,8,2,13,1,1,1,22,27,4,0,0,0,1,0,0,20,0,8,7,12.457142857142856,0,0,15.5,2.8,-4.06,Graduate
1,8,1,12,1,1,1,2,28,5,1,0,0,1,0,0,19,0,7,6,11.683333333333332,0,0,7.6,2.6,0.32,Graduate
1,13,1,3,0,1,1,13,2,5,0,0,0,1,0,0,26,0,10,3,11.666666666666666,0,0,9.4,-0.8,-3.12,Graduate
1,8,2,11,1,1,1,22,27,10,1,0,1,0,0,0,20,0,8,4,11.75,0,0,11.1,0.6,2.02,Dropout
1,1,1,14,1,1,1,22,27,10,1,0,0,1,0,1,18,0,6,3,11.666666666666666,0,0,7.6,2.6,0.32,Enrolled
1,12,1,16,1,1,1,22,14,10,0,0,0,1,0,0,27,0,9,5,13.2,0,0,7.6,2.6,0.32,Graduate
1,1,2,12,1,1,1,19,24,12,1,0,0,1,0,0,20,0,8,4,11.95,0,0,7.6,2.6,0.32,Dropout
1,1,5,16,1,1,1,22,14,10,1,0,0,1,0,0,18,0,8,5,12.4,0,0,9.4,-0.8,-3.12,Dropout
1,4,1,12,1,3,1,1,1,10,0,0,0,1,0,0,33,2,8,6,14.35,0,0,16.2,0.3,-0.92,Dropout
1,14,1,16,1,1,1,3,1,4,1,0,0,1,0,0,35,19,21,21,12.61904761904762,0,0,12.4,0.5,1.79,Graduate
1,15,1,17,0,14,1,22,14,10,0,0,0,1,0,1,26,2,7,6,12.666666666666666,0,1,9.4,-0.8,-3.12,Enrolled
1,12,1,15,1,12,1,13,14,4,0,0,1,0,0,0,27,0,6,5,12.0,0,0,11.1,0.6,2.02,Dropout
1,9,3,5,1,1,1,1,27,6,1,0,0,0,0,0,19,0,6,6,12.166666666666666,0,0,15.5,2.8,-4.06,Dropout
1,8,2,11,1,1,1,1,14,5,0,0,0,1,0,0,20,0,0,0,0.0,0,0,11.1,0.6,2.02,Dropout
1,9,2,9,1,1,1,3,3,6,1,0,1,0,0,0,20,0,9,3,10.0,0,0,10.8,1.4,1.74,Dropout
1,14,1,10,1,1,1,1,27,6,0,0,1,0,0,0,21,5,18,8,11.5,0,0,9.4,-0.8,-3.12,Enrolled
1,8,3,12,1,1,1,23,1,10,1,0,0,1,0,1,18,0,7,6,13.05,0,0,7.6,2.6,0.32,Graduate
1,12,1,6,1,1,1,1,14,10,1,0,0,1,0,0,24,0,10,2,11.0,0,0,8.9,1.4,3.51,Dropout
1,8,4,5,1,1,1,1,3,5,1,0,0,1,0,0,20,0,7,6,11.5,0,0,16.2,0.3,-0.92,Graduate
1,1,1,11,1,1,1,13,28,10,0,0,0,1,0,1,21,0,7,6,12.0,0,0,13.9,-0.3,0.79,Graduate
1,1,1,3,0,1,1,1,27,8,0,0,0,1,0,0,23,0,13,2,10.0,0,0,9.4,-0.8,-3.12,Enrolled
1,12,1,9,1,1,1,10,3,5,1,0,0,1,0,0,24,0,5,0,0.0,0,0,7.6,2.6,0.32,Dropout
1,16,1,16,1,1,1,1,1,5,0,0,0,1,0,0,21,0,0,0,0.0,0,0,12.4,0.5,1.79,Dropout
1,1,4,12,1,1,1,23,28,10,1,0,0,1,0,0,18,0,8,7,12.242857142857144,0,0,12.7,3.7,-1.7,Graduate
1,12,1,17,0,15,1,13,1,4,1,0,0,1,0,0,27,0,0,0,0.0,0,0,8.9,1.4,3.51,Dropout
1,9,6,12,1,1,1,22,27,6,1,0,0,1,0,0,18,0,8,8,12.93375,0,0,9.4,-0.8,-3.12,Graduate
1,4,1,7,1,3,1,3,2,3,0,0,0,1,0,0,35,0,0,0,0.0,0,0,13.9,-0.3,0.79,Dropout
1,1,1,16,1,1,1,13,14,4,0,0,0,1,0,0,18,0,9,7,12.571428571428571,0,0,11.1,0.6,2.02,Graduate
1,12,1,12,1,1,1,1,3,28,0,0,0,1,0,0,35,0,4,3,11.816666666666668,0,0,11.1,0.6,2.02,Enrolled
1,1,1,6,1,1,1,1,1,5,1,0,0,1,0,0,19,0,9,4,13.75,0,2,10.8,1.4,1.74,Graduate
